,No.,Date,Media,News_title,Sentiment(MaxEntropy),positive_word(VADER),negative_word(VADER),Year,Month,Day,Vader_Score,Sentiment(VADER),Sentiment(SparkNLP),Score(SparkNLP)
0,1,17/11/2022 0:00,Theborneopost,MSMEs call for moratorium to restart business,2,[],[],2022,November,17,0,2,0,-0.999701239
1,2,2/11/2022 0:00, Theedgemalaysia,Rethinking tourism with travel tech | The Edge Markets,2,[],[],2022,November,2,0,2,1,0.99994592
2,3,2/11/2022 0:00,Newsmalaysiamsn,Why Are We Spending So Much Right Now,2,[],[],2022,November,2,0,2,0,-1
3,4,2/11/2022 0:00, The Rakyat Post,Why Are We Spending So Much Right Now,2,[],[],2022,November,2,0,2,0,-1
4,5,24/10/2022 0:00,The Malaysian Insight,"Issue of film industry royalty to be reviewed, says PM",2,[],[],2022,October,24,0,2,1,0.999999531
5,6,24/10/2022 0:00,Thesundaily,Issue of film practitioner royalty should be reviewed: PM,2,[],[],2022,October,24,0,2,1,0.999999999
6,7,19/10/2022 0:00,Selangor Journal,OPINION | Hilman's Blurry Understanding of Economics,2,[],"['Blurry', -0.1027]",2022,October,19,-0.103,0,0,-0.99999332
7,8,19/10/2022 0:00,Amiruddin Shari,"Selangor Journal: Selangor records over RM2.1 bln in revenue from Jan to Oct, surpassing target - MB",2,[],[],2022,October,19,0,2,1,1
8,9,18/10/2022 0:00,Business Today,Selangor Surpasses Revenue Targets For 3rd Time Reaching RM2.1 Billion From Jan To Oct,2,"['Reaching', 0.2023]",[],2022,October,18,0.202,1,0,-0.996063836
9,10,14/10/2022 0:00,Selangor Journal,"Selangor surpasses revenue target, records RM2. 065 bln",2,[],[],2022,October,14,0,2,1,0.999540013
10,11,14/10/2022 0:00, Theedgemalaysia,"ICT contributed 23.2% of GDP in 2021, DOSM reveals | The Edge Markets",2,[],[],2022,October,14,0,2,1,1
11,12,13/10/2022 0:00, New Strait Times,NST Leader: Transport sector on budget?,2,[],[],2022,October,13,0,2,1,0.999999796
12,13,4/10/2022 0:00,Theedgemalaysia,Malaysians use credit cards more and borrow more | The Edge Markets,2,"['credit', 0.3818]",[],2022,October,4,0.382,1,1,0.999999978
13,14,4/10/2022 0:00,Business Today,Digitalisation Imperatives for SMEs in Malaysia,2,[],[],2022,October,4,0,2,1,1
14,15,4/10/2022 0:00,Newsmalaysiamsn,Malaysians use credit cards more and borrow more,2,"['credit', 0.3818]",[],2022,October,4,0.382,1,1,0.999999771
15,16,30/9/2022 0:00,The Malay Mail Online,Stats Dept sees Malaysia's real GDP expanding 5.1pc in 2022,2,[],[],2022,September,30,0,2,1,1
16,17,28/9/2022 0:00,Selangor Journal,"Tourism industry generates RM197.9 bln GVATI in 2021, contributes 12.8 pct to GDP - DOSM",2,[],[],2022,September,28,0,2,1,1
17,18,28/9/2022 0:00,Business Today,DOSM: Domestic Tourism Dominated With 97.4% To Tourism Expenditure In 2021,2,[],[],2022,September,28,0,2,1,0.999997394
18,19,22/9/2022 0:00,i3investor,"Seeking balanced development for Sabah, Sarawak By Mohammad Zulhafiy Zol Bahari",2,[],[],2022,September,22,0,2,0,-0.999777069
19,20,19/9/2022 0:00,Bernama,Budget 2023 wishlist : SMEs call for more automation and digitalisation grants,2,"['grants', 0.2263]",[],2022,September,19,0.226,1,1,1
20,21,19/9/2022 0:00,Thesundaily,Budget 2023 wishlist : SMEs call for more automation and digitalisation grants,2,"['grants', 0.2263]",[],2022,September,19,0.226,1,1,1
